FID,PAR20CD,PAR20NM,PAR20NMW,LAD20CD,LAD20NM
1,E04000253,Brierton,,E06000001,Hartlepool
2,E04000254,Claxton,,E06000001,Hartlepool
3,E04000255,Dalton Piercy,,E06000001,Hartlepool
4,E04000256,Elwick,,E06000001,Hartlepool
5,E04000257,Greatham,,E06000001,Hartlepool
6,E04000258,Hart,,E06000001,Hartlepool
7,E04000259,Newton Bewley,,E06000001,Hartlepool
8,E04000260,Headland,,E06000001,Hartlepool
9,E04000261,Nunthorpe,,E06000002,Middlesbrough
10,E04000262,Stainton and Thornton,,E06000002,Middlesbrough
11,E04000263,Guisborough,,E06000003,Redcar and Cleveland
12,E04000264,Lockwood,,E06000003,Redcar and Cleveland
13,E04000265,Loftus,,E06000003,Redcar and Cleveland
14,E04000266,"Saltburn, Marske and New Marske",,E06000003,Redcar and Cleveland
15,E04000267,Skelton and Brotton,,E06000003,Redcar and Cleveland
16,E04000268,Aislaby,,E06000004,Stockton-on-Tees
17,E04000269,Carlton,,E06000004,Stockton-on-Tees
18,E04000272,Elton,,E06000004,Stockton-on-Tees
19,E04000275,Ingleby Barwick,,E06000004,Stockton-on-Tees
20,E04000277,Longnewton,,E06000004,Stockton-on-Tees
21,E04000279,Newsham,,E06000004,Stockton-on-Tees
22,E04000283,Thornaby,,E06000004,Stockton-on-Tees
23,E04000284,Wolviston,,E06000004,Stockton-on-Tees
24,E04000286,Billingham,,E06000004,Stockton-on-Tees
25,E04012066,Castlelevington,,E06000004,Stockton-on-Tees
26,E04012067,Egglescliffe,,E06000004,Stockton-on-Tees
27,E04012068,Hilton,,E06000004,Stockton-on-Tees
28,E04012069,Kirklevington,,E06000004,Stockton-on-Tees
29,E04012070,Maltby,,E06000004,Stockton-on-Tees
30,E04012071,Preston-on-Tees,,E06000004,Stockton-on-Tees
31,E04012072,Redmarshall,,E06000004,Stockton-on-Tees
32,E04012073,Stillington and Whitton,,E06000004,Stockton-on-Tees
33,E04012074,Yarm,,E06000004,Stockton-on-Tees
34,E04012954,Grindon and Thorpe Thewles,,E06000004,Stockton-on-Tees
35,E04012955,Wynyard,,E06000004,Stockton-on-Tees
36,E04000288,Barmpton,,E06000005,Darlington
37,E04000289,Bishopton,,E06000005,Darlington
38,E04000290,Brafferton,,E06000005,Darlington
39,E04000291,Coatham Mundeville,,E06000005,Darlington
40,E04000292,Denton,,E06000005,Darlington
41,E04000293,East and West Newbiggin,,E06000005,Darlington
42,E04000294,Great Burdon,,E06000005,Darlington
43,E04000295,Great Stainton,,E06000005,Darlington
44,E04000296,Heighington,,E06000005,Darlington
