WD20CD,WD20NM,FID
E05000299,Queensbury,1
E05000300,Rayners Lane,2
E05000301,Roxbourne,3
E05000302,Roxeth,4
E05000303,Stanmore Park,5
E05000304,Wealdstone,6
E05000305,West Harrow,7
E05000306,Brooklands,8
E05000307,Cranham,9
E05000308,Elm Park,10
E05000309,Emerson Park,11
E05000310,Gooshays,12
E05000311,Hacton,13
E05000312,Harold Wood,14
E05000313,Havering Park,15
E05000314,Heaton,16
E05000315,Hylands,17
E05000316,Mawneys,18
E05000317,Pettits,19
E05000318,Rainham and Wennington,20
E05000319,Romford Town,21
E05000320,St Andrew's,22
E05000321,South Hornchurch,23
E05000322,Squirrel's Heath,24
E05000323,Upminster,25
E05000324,Barnhill,26
E05000325,Botwell,27
E05000326,Brunel,28
E05000327,Cavendish,29
E05000328,Charville,30
E05000329,Eastcote and East Ruislip,31
E05000330,Harefield,32
E05000331,Heathrow Villages,33
E05000332,Hillingdon East,34
E05000333,Ickenham,35
E05000334,Manor,36
E05000335,Northwood,37
E05000336,Northwood Hills,38
E05000337,Pinkwell,39
E05000338,South Ruislip,40
E05000339,Townfield,41
E05000340,Uxbridge North,42
E05000341,Uxbridge South,43
E05000342,West Drayton,44
E05000343,West Ruislip,45
E05000344,Yeading,46
E05000345,Yiewsley,47
E05000346,Bedfont,48
E05000347,Brentford,49
E05000348,Chiswick Homefields,50
E05009288,Aldersgate,51
E05009289,Aldgate,52
E05009290,Bassishaw,53
E05009291,Billingsgate,54
E05009292,Bishopsgate,55
E05009293,Bread Street,56
E05009294,Bridge,57
E05009295,Broad Street,58
E05009296,Candlewick,59
E05009297,Castle Baynard,60
E05009298,Cheap,61
E05009299,Coleman Street,62
E05009300,Cordwainer,63
E05009301,Cornhill,64
E05009302,Cripplegate,65
E05009303,Dowgate,66
E05009304,Farringdon Within,67
E05009305,Farringdon Without,68
E05009306,Langbourn,69
E05009307,Lime Street,70
E05009308,Portsoken,71
E05009309,Queenhithe,72
E05009310,Tower,73
E05009311,Vintry,74
E05009312,Walbrook,75
E05000026,Abbey,76
E05000027,Alibon,77
E05000028,Becontree,78
E05000029,Chadwell Heath,79
E05000030,Eastbrook,80
E05000031,Eastbury,81
E05000032,Gascoigne,82
E05000033,Goresbrook,83
E05000034,Heath,84
E05000035,Longbridge,85
E05000036,Mayesbrook,86
E05000037,Parsloes,87
E05000038,River,88
E05000039,Thames,89
E05000040,Valence,90
E05000041,Village,91
E05000042,Whalebone,92
E05000043,Brunswick Park,93
E05000044,Burnt Oak,94
E05000045,Childs Hill,95
E05000046,Colindale,96
E05000047,Coppetts,97
E05000048,East Barnet,98
E05000049,East Finchley,99
E05000050,Edgware,100
E05009387,Woodberry Down,101
E05000250,Addison,102
E05000251,Askew,103
E05000252,Avonmore and Brook Green,104
E05000253,College Park and Old Oak,105
E05000254,Fulham Broadway,106
E05000255,Fulham Reach,107
E05000256,Hammersmith Broadway,108
E05000257,Munster,109
E05000258,North End,110
E05000259,Palace Riverside,111
E05000260,Parsons Green and Walham,112
E05000261,Ravenscourt Park,113
E05000051,Finchley Church End,114
E05000262,Sands End,115
E05000263,Shepherd's Bush Green,116
E05000264,Town,117
E05000265,Wormholt and White City,118
E05000266,Alexandra,119
E05000267,Bounds Green,120
E05000268,Bruce Grove,121
E05000269,Crouch End,122
E05000270,Fortis Green,123
E05000271,Harringay,124
E05000272,Highgate,125
E05000273,Hornsey,126
E05000274,Muswell Hill,127
E05000275,Noel Park,128
E05000276,Northumberland Park,129
E05000277,St Ann's,130
E05000278,Seven Sisters,131
E05000279,Stroud Green,132
E05000280,Tottenham Green,133
E05000281,Tottenham Hale,134
E05000282,West Green,135
E05000283,White Hart Lane,136
E05000284,Woodside,137
E05000285,Belmont,138
E05000286,Canons,139
E05000287,Edgware,140
E05000288,Greenhill,141
E05000289,Harrow on the Hill,142
E05000290,Harrow Weald,143
E05000291,Hatch End,144
E05000292,Headstone North,145
E05000293,Headstone South,146
E05000294,Kenton East,147
E05000295,Kenton West,148
E05000296,Marlborough,149
E05000297,Pinner,150
E05000298,Pinner South,151
E05000105,Willesden Green,152
E05000106,Bickley,153
E05000107,Biggin Hill,154
E05000108,Bromley Common and Keston,155
E05000109,Bromley Town,156
E05000110,Chelsfield and Pratts Bottom,157
E05000111,Chislehurst,158
E05000112,Clock House,159
E05000113,Copers Cope,160
E05000114,Cray Valley East,161
E05000115,Cray Valley West,162
E05000116,Crystal Palace,163
E05000117,Darwin,164
E05000118,Farnborough and Crofton,165
E05000119,Hayes and Coney Hall,166
E05000120,Kelsey and Eden Park,167
E05000121,Mottingham and Chislehurst North,168
E05000122,Orpington,169
E05000123,Penge and Cator,170
E05000124,Petts Wood and Knoll,171
E05000125,Plaistow and Sundridge,172
E05000126,Shortlands,173
E05000127,West Wickham,174
E05000128,Belsize,175
E05000129,Bloomsbury,176
E05000130,Camden Town with Primrose Hill,177
E05000131,Cantelowes,178
E05000132,Fortune Green,179
E05000133,Frognal and Fitzjohns,180
E05000134,Gospel Oak,181
E05000135,Hampstead Town,182
E05000136,Haverstock,183
E05000137,Highgate,184
E05000138,Holborn and Covent Garden,185
E05000139,Kentish Town,186
E05000140,Kilburn,187
E05000141,King's Cross,188
E05000142,Regent's Park,189
E05000143,St Pancras and Somers Town,190
E05000144,Swiss Cottage,191
E05000145,West Hampstead,192
E05011462,Addiscombe East,193
E05011463,Addiscombe West,194
E05011464,Bensham Manor,195
E05011465,Broad Green,196
E05011466,Coulsdon Town,197
E05011467,Crystal Palace & Upper Norwood,198
E05011468,Fairfield,199
E05011469,Kenley,200
E05011470,New Addington North,201
E05000052,Garden Suburb,202
E05000053,Golders Green,203
E05000054,Hale,204
E05000055,Hendon,205
E05000056,High Barnet,206
E05000057,Mill Hill,207
E05000058,Oakleigh,208
E05000059,Totteridge,209
E05000060,Underhill,210
E05000061,West Finchley,211
E05000062,West Hendon,212
E05000063,Woodhouse,213
E05011217,Barnehurst,214
E05011218,Belvedere,215
E05011219,Bexleyheath,216
E05011220,Blackfen & Lamorbey,217
E05011221,Blendon & Penhill,218
E05011222,Crayford,219
E05011223,Crook Log,220
E05011224,East Wickham,221
E05011225,Erith,222
E05011226,Falconwood & Welling,223
E05011227,Longlands,224
E05011228,Northumberland Heath,225
E05011229,St Mary's & St James,226
E05011230,Sidcup,227
E05011231,Slade Green & Northend,228
E05011232,Thamesmead East,229
E05011233,West Heath,230
E05000085,Alperton,231
E05000086,Barnhill,232
E05000087,Brondesbury Park,233
E05000088,Dollis Hill,234
E05000089,Dudden Hill,235
E05000090,Fryent,236
E05000091,Harlesden,237
E05000092,Kensal Green,238
E05000093,Kenton,239
E05000094,Kilburn,240
E05000095,Mapesbury,241
E05000096,Northwick Park,242
E05000097,Preston,243
E05000098,Queens Park,244
E05000099,Queensbury,245
E05000100,Stonebridge,246
E05000101,Sudbury,247
E05000102,Tokyngton,248
E05000103,Welsh Harp,249
E05000104,Wembley Central,250
E05000349,Chiswick Riverside,251
E05000201,Haselbury,252
E05000350,Cranford,253
E05000351,Feltham North,254
E05000352,Feltham West,255
E05000353,Hanworth,256
E05000354,Hanworth Park,257
E05000355,Heston Central,258
E05000356,Heston East,259
E05000357,Heston West,260
E05000358,Hounslow Central,261
E05000359,Hounslow Heath,262
E05000360,Hounslow South,263
E05000361,Hounslow West,264
E05000362,Isleworth,265
E05000363,Osterley and Spring Grove,266
E05000364,Syon,267
E05000365,Turnham Green,268
E05000366,Barnsbury,269
E05000367,Bunhill,270
E05000368,Caledonian,271
E05000369,Canonbury,272
E05000370,Clerkenwell,273
E05000371,Finsbury Park,274
E05000372,Highbury East,275
E05000373,Highbury West,276
E05000374,Hillrise,277
E05000375,Holloway,278
E05000376,Junction,279
E05000377,Mildmay,280
E05000378,St George's,281
E05000379,St Mary's,282
E05000380,St Peter's,283
E05000202,Highlands,284
E05000381,Tollington,285
E05009388,Abingdon,286
E05000203,Jubilee,287
E05009389,Brompton & Hans Town,288
E05000204,Lower Edmonton,289
E05009390,Campden,290
E05000205,Palmers Green,291
E05009391,Chelsea Riverside,292
E05000206,Ponders End,293
E05009392,Colville,294
E05000207,Southbury,295
E05009393,Courtfield,296
E05000208,Southgate,297
E05009394,Dalgarno,298
E05000209,Southgate Green,299
E05009395,Earl's Court,300
E05000210,Town,301
E05009396,Golborne,302
E05000211,Turkey Street,303
E05009397,Holland,304
E05000212,Upper Edmonton,305
E05009398,Norland,306
E05000213,Winchmore Hill,307
E05009399,Notting Dale,308
E05000214,Abbey Wood,309
E05009400,Pembridge,310
E05000215,Blackheath Westcombe,311
E05009401,Queen's Gate,312
E05000216,Charlton,313
E05009402,Redcliffe,314
E05000217,Coldharbour and New Eltham,315
E05009403,Royal Hospital,316
E05000218,Eltham North,317
E05009404,St. Helen's,318
E05000219,Eltham South,319
E05000220,Eltham West,320
E05000221,Glyndon,321
E05000222,Greenwich West,322
E05000223,Kidbrooke with Hornfair,323
E05000224,Middle Park and Sutcliffe,324
E05000225,Peninsula,325
E05000226,Plumstead,326
E05000227,Shooters Hill,327
E05000228,Thamesmead Moorings,328
E05000229,Woolwich Common,329
E05000230,Woolwich Riverside,330
E05009367,Brownswood,331
E05009368,Cazenove,332
E05009369,Clissold,333
E05009370,Dalston,334
E05009371,De Beauvoir,335
E05009372,Hackney Central,336
E05009373,Hackney Downs,337
E05009374,Hackney Wick,338
E05009375,Haggerston,339
E05009376,Homerton,340
E05009377,Hoxton East & Shoreditch,341
E05009378,Hoxton West,342
E05009379,King's Park,343
E05009380,Lea Bridge,344
E05009381,London Fields,345
E05009382,Shacklewell,346
E05009383,Springfield,347
E05009384,Stamford Hill West,348
E05009385,Stoke Newington,349
E05009386,Victoria,350
E05011471,New Addington South,351
E05011472,Norbury & Pollards Hill,352
E05011473,Norbury Park,353
E05011474,Old Coulsdon,354
E05011475,Park Hill & Whitgift,355
E05011476,Purley & Woodcote,356
E05011477,Purley Oaks & Riddlesdown,357
E05011478,Sanderstead,358
E05011479,Selhurst,359
E05011480,Selsdon & Addington Village,360
E05011481,Selsdon Vale & Forestdale,361
E05011482,Shirley North,362
E05011483,Shirley South,363
E05011484,South Croydon,364
E05011485,South Norwood,365
E05011486,Thornton Heath,366
E05011487,Waddon,367
E05011488,West Thornton,368
E05011489,Woodside,369
E05000170,Acton Central,370
E05000171,Cleveland,371
E05000172,Dormers Wells,372
E05000173,Ealing Broadway,373
E05000174,Ealing Common,374
E05000175,East Acton,375
E05000176,Elthorne,376
E05000177,Greenford Broadway,377
E05000178,Greenford Green,378
E05000179,Hanger Hill,379
E05000180,Hobbayne,380
E05000181,Lady Margaret,381
E05000182,Northfield,382
E05000183,North Greenford,383
E05000184,Northolt Mandeville,384
E05000185,Northolt West End,385
E05000186,Norwood Green,386
E05000187,Perivale,387
E05000188,South Acton,388
E05000189,Southall Broadway,389
E05000190,Southall Green,390
E05000191,Southfield,391
E05000192,Walpole,392
E05000193,Bowes,393
E05000194,Bush Hill Park,394
E05000195,Chase,395
E05000196,Cockfosters,396
E05000197,Edmonton Green,397
E05000198,Enfield Highway,398
E05000199,Enfield Lock,399
E05000200,Grange,400
E05000593,Chingford Green,401
E05000594,Endlebury,402
E05000595,Forest,403
E05000596,Grove Green,404
E05000597,Hale End and Highams Park,405
E05000598,Hatch Lane,406
E05000599,High Street,407
E05000600,Higham Hill,408
E05000601,Hoe Street,409
E05000602,Larkswood,410
E05000603,Lea Bridge,411
E05000604,Leyton,412
E05000605,Leytonstone,413
E05000606,Markhouse,414
E05000607,Valley,415
E05000608,William Morris,416
E05000609,Wood Street,417
E05000610,Balham,418
E05000611,Bedford,419
E05000612,Earlsfield,420
E05000613,East Putney,421
E05000614,Fairfield,422
E05000615,Furzedown,423
E05000616,Graveney,424
E05000617,Latchmere,425
E05000618,Nightingale,426
E05000619,Northcote,427
E05000620,Queenstown,428
E05000621,Roehampton and Putney Heath,429
E05000622,St Mary's Park,430
E05000623,Shaftesbury,431
E05000624,Southfields,432
E05011109,Old Kent Road,433
E05000625,Thamesfield,434
E05000626,Tooting,435
E05000627,Wandsworth Common,436
E05000628,West Hill,437
E05000629,West Putney,438
E05000630,Abbey Road,439
E05000631,Bayswater,440
E05000632,Bryanston and Dorset Square,441
E05000633,Churchill,442
E05000634,Church Street,443
E05000635,Harrow Road,444
E05000636,Hyde Park,445
E05000637,Knightsbridge and Belgravia,446
E05000638,Lancaster Gate,447
E05000639,Little Venice,448
E05000640,Maida Vale,449
E05000641,Marylebone High Street,450
E05000642,Queen's Park,451
E05009405,Stanley,452
E05000400,Alexandra,453
E05000401,Berrylands,454
E05000402,Beverley,455
E05000403,Canbury,456
E05000404,Chessington North and Hook,457
E05000405,Chessington South,458
E05000406,Coombe Hill,459
E05000407,Coombe Vale,460
E05000408,Grove,461
E05000409,Norbiton,462
E05000410,Old Malden,463
E05000411,St James,464
E05000412,St Mark's,465
E05000413,Surbiton Hill,466
E05000414,Tolworth and Hook Rise,467
E05000415,Tudor,468
E05000416,Bishop's,469
E05000417,Brixton Hill,470
E05000418,Clapham Common,471
E05000419,Clapham Town,472
E05000420,Coldharbour,473
E05000421,Ferndale,474
E05000422,Gipsy Hill,475
E05000423,Herne Hill,476
E05000424,Knight's Hill,477
E05000425,Larkhall,478
E05000426,Oval,479
E05000427,Prince's,480
E05000428,St Leonard's,481
E05000429,Stockwell,482
E05000430,Streatham Hill,483
E05000431,Streatham South,484
E05000432,Streatham Wells,485
E05000433,Thornton,486
E05000434,Thurlow Park,487
E05000435,Tulse Hill,488
E05000436,Vassall,489
E05000437,Bellingham,490
E05000438,Blackheath,491
E05000439,Brockley,492
E05000440,Catford South,493
E05000441,Crofton Park,494
E05000442,Downham,495
E05000443,Evelyn,496
E05000444,Forest Hill,497
E05000445,Grove Park,498
E05000446,Ladywell,499
E05000447,Lee Green,500
E05000448,Lewisham Central,501
E05011110,Peckham,502
E05011111,Peckham Rye,503
E05011112,Rotherhithe,504
E05011113,Rye Lane,505
E05011114,St George's,506
E05011115,St Giles,507
E05011116,South Bermondsey,508
E05011117,Surrey Docks,509
E05000555,Beddington North,510
E05000556,Beddington South,511
E05000557,Belmont,512
E05000558,Carshalton Central,513
E05000559,Carshalton South and Clockhouse,514
E05000560,Cheam,515
E05000561,Nonsuch,516
E05000562,St Helier,517
E05000563,Stonecot,518
E05000564,Sutton Central,519
E05000565,Sutton North,520
E05000566,Sutton South,521
E05000567,Sutton West,522
E05000568,The Wrythe,523
E05000569,Wallington North,524
E05000570,Wallington South,525
E05000571,Wandle Valley,526
E05000572,Worcester Park,527
E05009317,Bethnal Green,528
E05009318,Blackwall & Cubitt Town,529
E05009319,Bow East,530
E05009320,Bow West,531
E05009321,Bromley North,532
E05009322,Bromley South,533
E05009323,Canary Wharf,534
E05009324,Island Gardens,535
E05009325,Lansbury,536
E05009326,Limehouse,537
E05009327,Mile End,538
E05009328,Poplar,539
E05009329,St Dunstan's,540
E05009330,St Katharine's & Wapping,541
E05009331,St Peter's,542
E05009332,Shadwell,543
E05009333,Spitalfields & Banglatown,544
E05009334,Stepney Green,545
E05009335,Weavers,546
E05009336,Whitechapel,547
E05000590,Cann Hall,548
E05000591,Cathall,549
E05000592,Chapel End,550
E05000643,Regent's Park,551
E05011356,Cheetham,552
E05011238,Churchfields,553
E05000743,East Middleton,554
E05011239,Clayhall,555
E05000744,Healey,556
E05011240,Clementswood,557
E05011357,Chorlton,558
E05000745,Hopwood Hall,559
E05011241,Cranbrook,560
E05011358,Chorlton Park,561
E05000746,Kingsway,562
E05011242,Fairlop,563
E05011359,Clayton & Openshaw,564
E05000747,Littleborough Lakeside,565
E05011243,Fullwell,566
E05000644,St James's,567
E05011360,Crumpsall,568
E05000748,Milkstone and Deeplish,569
E05011244,Goodmayes,570
E05000645,Tachbrook,571
E05011361,Deansgate,572
E05000749,Milnrow and Newhey,573
E05011245,Hainault,574
E05000646,Vincent Square,575
E05011362,Didsbury East,576
E05000750,Norden,577
E05011246,Ilford Town,578
E05011363,Didsbury West,579
E05000647,Warwick,580
E05000751,North Heywood,581
E05011247,Loxford,582
E05011364,Fallowfield,583
E05000648,Westbourne,584
E05000752,North Middleton,585
E05011248,Mayfield,586
E05011365,Gorton & Abbey Hey,587
E05000649,West End,588
